연번,구분,단지명,소재지 지번주소,소재지 도로명주소,층수,동수, 세대수 ,준공일
1,공공주택(의무관리),가야KT e편한세상,가야동 698,가야대로 569,29,5,299,2006-09-28
2,공공주택(의무관리),가야동원로얄듀크,가야동 128-1,가야대로 531,28,2,298,2013-05-01
3,공공주택(의무관리),가야반도보라빌,가야동 588,가야공원로 41,25,11,1048,2005-02-02
4,공공주택(의무관리),가야벽산,가야동 669-9,엄광로 122,15,21,1772,1992-06-26
5,공공주택(의무관리),가야삼정그린코아,가야동 361-85,엄광로238번길 5,22,3,386,2000-07-08
6,공공주택(의무관리),가야유림아파트,가야동 50-1,가야대로 679번길 155,25,2,300,1996-02-17
7,공공주택(의무관리),가야화신타운,가야동 55,가야대로679번길 166,25,3,299,1999-12-28
8,공공주택(의무관리),가야센트레빌,가야동 699,가야공원로 6,35,2,212,2020-06-30
9,공공주택(의무관리),개금대동아파트,개금동 566-51,진사로89번길 73,15,3,246,1999-04-22
10,공공주택(의무관리),개금롯데캐슬아파트,개금동 796,개금온정로 10,30,5,489,2010-11-12
11,공공주택(의무관리),개금반도보라,개금동 19-6,개금본동로 42,24,3,480,1994-03-07
12,공공주택(의무관리),개금성도아파트,개금동 10,개금본동로22번길 31,15,2,296,1992-02-13
13,공공주택(의무관리),개금시영아파트,"개금동 627-1,628-1,629-1",진사로61번길 29,5,17,629,1974-12-30
14,공공주택(의무관리),개금우드빌,개금동 1-7,백양대로208번길 144,20,8,980,1994-07-09
15,공공주택(의무관리),개금주공1단지,개금동 53-1,백양대로208번길 25,5,8,380,1987-01-20
16,공공주택(의무관리),개금주공2단지,개금동 53,백양관문로 7,15,18,2544,1988-06-30
17,공공주택(의무관리),개금한진,개금동 2-1,백양대로208번길 90,15,2,180,1992-07-30
18,공공주택(의무관리),개금현대I(아이),개금동 618-2,복지로 70,19,18,1424,2002-06-28
19,공공주택(의무관리),개금현대아파트,개금동 19-2,개금본동로 36,20,3,450,1992-12-30
20,공공주택(의무관리),고원아파트,개금동 산54-4,엄광로62번길 61,5,7,325,1986-03-05
21,공공주택(의무관리),금강펜테리움,개금동 875,가야대로 450,39,4,620,2018-02-27
22,공공주택(의무관리),동원화인패밀리타운,개금동 1-12,백양관문로77번길 55,25,5,894,1995-10-24
23,공공주택(의무관리),삼환아파트,개금동 1-4,백양대로208번길 133,15,3,240,1995-09-07
24,공공주택(의무관리),성원상떼뷰,개금동 197-5,개금온정로 5,22,1,231,2004-04-14
25,공공주택(의무관리),"신개금LG(1차,2차)","개금동 455,596",백양대로300번길 20,27,24,2510,1998-11-02
26,공공주택(의무관리),신개금우성아파트,개금동 57,백양대로208번길 38-9,15,4,360,1989-09-01
27,공공주택(의무관리),개금주공3단지,당감동 516,백양관문로 10,15,17,2716,1989-06-10
28,공공주택(의무관리),국제백양,당감동 791,백양관문로 104-1,15,11,1153,1995-01-21
29,공공주택(의무관리),국제프라자,당감동 792-3,백양관문로 101,25,1,298,1995-03-10
30,공공주택(의무관리),당감동원타워,당감동 515-1,동평로 18,18,5,240,1992-07-23
31,공공주택(의무관리),당감동일스위트,당감동 807-4,백양관문로 115,25,10,1090,2005-03-28
32,공공주택(의무관리),백양뜨란채(당감주공2단지),당감동 797,백양산로53번길 125,25,13,851,1999-07-21
33,공공주택(의무관리),백양푸른채(당감주공3단지),당감동 794,백양산로53번길 62,25,13,1116,1999-11-27
34,공공주택(의무관리),서면봄여름가을겨울,당감동 99-1,가야대로691번길 19,20,3,288,2015-12-18
35,공공주택(의무관리),서면2차봄여름가을겨울,당감동 1024,신천대로197번길 15,37,3,535,2019-04-16
36,공공주택(의무관리),서면삼익,"당감동 175-2,177-1,177-3,447-3,473-5",당감로 17,14,11,1074,1980-10-02
37,공공주택(의무관리),신가야벽산블루밍,당감동 128-2,마철로 98,30,4,436,2006-04-18
38,공공주택(의무관리),태우선파크,당감동 659-1,백양순환로35번길 43,22,1,214,1994-02-07
39,공공주택(의무관리),태화현대1차,당감동 109-1,가야대로 635-20,25,6,668,1996-01-05
40,공공주택(의무관리),태화현대2차,당감동 123,가야대로 635-13,25,9,820,1996-06-27
41,공공주택(의무관리),DS협성 엘리시안,범천동 1647,만리산로 11,28,7,630,2017-03-28
42,공공주택(의무관리),대우디오빌서면1,범천동 1057-2,가야대로 714,25,1,405,2004-10-15
43,공공주택(의무관리),대원아파트(1차),범천동 851-1,황령대로18번길 43,12,1,184,1984-06-12
44,공공주택(의무관리),대원아파트(2차),범천동 851-1,황령대로18번길 43,15,1,315,1986-11-22
45,공공주택(의무관리),서면항도타워,범천동 1256-2,신암로 72,24,1,188,1994-05-16
46,공공주택(의무관리),두산위브센티움,범천동 842-2,자유평화로37번길 67,32,1,289,2005-04-25
47,공공주택(의무관리),범천경남아파트,범천동 944-1,신암로 32,25,7,946,2003-05-13
48,공공주택(의무관리),서면e편한세상,범천동 1054,가야대로 702,37,4,623,2006-12-27
49,공공주택(의무관리),서면동일스위트,범천동 966-8,범천로12번길 8,36,1,292,2013-03-15
50,공공주택(의무관리),서면6차 봄여름가을겨울,범천동 881-3,중앙대로 582,20,3,266,2020-03-17
51,공공주택(의무관리),서면베르빌2,범천동 879-2,중앙대로 584,20,1,606,2004-08-18
52,공공주택(의무관리),서면유림노르웨이숲,범천동 865,신천대로 71,36,2,381,2014-06-05
53,공공주택(의무관리),가야누리애센트리즈,범천동 974-16,범천로 16,25,1,196,2020-05-08
54,공공주택(의무관리),서면3차 봄여름가을겨울,범천동 1650,가야대로 694,37,3,382,2020-06-05
55,공공주택(의무관리),풍림아이원,범천동 1643,범일로154번길 33,30,1,223,2012-05-29
56,공공주택(의무관리),당감뜨란채,부암동 725,백양산로 57,25,6,630,2005-08-28
57,공공주택(의무관리),메리움아파트,부암동 69-5,신천대로 246,28,2,260,1998-12-26
58,공공주택(의무관리),백양산삼정그린코아,부암동 657,용사촌로 52-16,15,1,215,2012-12-12
59,공공주택(의무관리),백양산쌍용스윗닷홈,부암동 720,백양산로 70,23,8,718,2004-12-17
60,공공주택(의무관리),백양산월드메르디앙,부암동 730,백양산로 36,26,5,315,2006-04-27
61,공공주택(의무관리),부산서면동문굿모닝힐,부암동 735,신천대로220번길 65,35,5,559,2011-09-27
62,공공주택(의무관리),서면동일파크스위트1차,부암동 736,동평로150번길 14,25,8,751,2014-11-27
63,공공주택(의무관리),서면동일파크스위트2차,부암동 739,동평로 128,20,5,243,2017-02-24
64,공공주택(의무관리),서면동일파크스위트3차,부암동 746,동평로 162,29,9,727,2017-06-30
65,공공주택(의무관리),서면럭키무지개,부암동 303-6,신천대로 283-1,15,2,294,1989-09-02
66,공공주택(의무관리),서면쌍용스윗닷홈스카이,부암동 63-3,시민공원로 11,40,3,544,2007-11-28
67,공공주택(의무관리),서면쌍용스윗닷홈파크,부암동 731,신천대로220번길 31,32,2,296,2007-07-20
68,공공주택(의무관리),일동미라주,부암동 9-3,동평로 218,27,5,294,2007-03-30
69,공공주택(의무관리),일성in4,부암동 55-6,신천대로 252,25,1,546,1997-12-08
70,공공주택(의무관리),진흥마제스타워(시승인),부암동 304-1 외 35필지,동평로 197,37,2,248,2008-11-20
71,공공주택(의무관리),타워베르빌,부암동 48-3,시민공원로19번길 65,43,1,566,2005-11-15
72,공공주택(의무관리),협성피닉스타운아파트,부암동 560-20,당감로 108,15,7,774,1993-12-10
73,공공주택(의무관리),협성휴포레 시티즌파크,부암동 751,동평로 173,30,4,389,2020-07-20
74,공공주택(의무관리),화승삼성아파트,부암동 500,당감로 79,25,20,1812,1997-03-29
75,공공주택(의무관리),네오스포아파트,부전동 450,신천대로 122,27,1,783,1999-12-09
76,공공주택(의무관리),서면더샵센트럴스타,부전동 537-9,중앙대로666번길 50,58,5,1360,2011-06-17
77,공공주택(의무관리),삼한골든뷰센트럴파크,범전동 450,중앙대로 821,58,3,1272,2019-05-03
78,공공주택(의무관리),한솔폴라리스,부전동 505-6,가야대로 754,20,1,358,2005-05-20
79,공공주택(의무관리),대원칸타빌멤버스,양정동 525,거제대로 26,43,6,840,2006-08-29
80,공공주택(의무관리),양정롯데갤러리움,양정동 273-1,중앙대로969번길 11,30,1,268,2006-04-27
81,공공주택(의무관리),양정백조아파트,양정동 406-4,동평로 409,10,3,190,1983-12-30
82,공공주택(의무관리),양정삼성타워,양정동 350-3,양지로5번길 60,15,1,150,2000-11-14
83,공공주택(의무관리),양정현대1차,양정동 458-5,동평로 352,25,13,1733,1997-11-15
84,공공주택(의무관리),양정현대2차,양정동 458-20,거제대로 37,25,15,1901,1998-07-15
85,공공주택(의무관리),양정이즈카운티,양정동 367-14,양지로14번길 24,24,4,276,2020-07-14
86,공공주택(의무관리),세동한신,연지동 353-1,새싹로 183,25,5,789,1995-12-27
87,공공주택(의무관리),연지경동,연지동 381,초연로21번길 102,20,4,176,2005-05-31
88,공공주택(의무관리),연지유림노르웨이숲,연지동 1-6,성지로62번길 8,23,3,191,2006-04-26
89,공공주택(의무관리),연지자이1차,연지동 403,동평로183번길 67,20,8,547,2007-12-28
90,공공주택(의무관리),연지자이2차,연지동 406,초연로 11,23,13,1011,2011-12-02
91,공공주택(의무관리),연지청구1차,연지동 1,성지로62번길 10,24,5,451,2000-07-19
92,공공주택(의무관리),연지청구2차,연지동 23-17,동평로291번길 30-17,25,3,554,2002-09-05
93,공공주택(의무관리),연지한신타워,연지동 322,성지로61번길 30,24,7,350,1994-01-14
94,공공주택(의무관리),연지화인아파트,연지동 50-6,동평로291번길 30,25,4,654,1996-08-14
95,공공주택(의무관리),연지 에코팰리스,연지동 41-4,동평로 281,27,1,156,2020-05-29
96,공공주택(의무관리),서면노르웨이아침,전포동 892-21,동천로 10-1,27,1,548,2004-10-01
97,공공주택(의무관리),서면대우디오빌2,전포동 181-1,전포대로 274,30,1,751,2005-05-26
98,공공주택(의무관리),서면롯데캐슬스카이,전포동 587,전포대로275번길 20,38,9,1395,2004-12-18
99,공공주택(의무관리),서면쌍용플래티넘,전포동 683-11,동천로 70,19,1,432,2004-08-26
100,공공주택(의무관리),서면한신아파트,전포동 33-9,전포대로 294,25,5,705,1997-09-13
101,공공주택(의무관리),세종그랑시아,전포동 880-1,전포대로171번길 12,35,2,295,2009-10-19
102,공공주택(의무관리),양정메트로하이츠,전포동 9,진남로 477,25,4,258,2006-05-30
103,공공주택(의무관리),에메랄드홈,전포동 876-4,중앙대로 786,28,2,241,2006-07-03
104,공공주택(의무관리),전포대동파크맨션,전포동 190-25,진남로356번길 122,15,1,173,2000-04-01
105,공공주택(의무관리),전포시영아파트,전포동 326,진남로 336,5,8,400,1978-09-07
106,공공주택(의무관리),전포화신아파트,전포동 191-661,진남로356번길 90,15,2,268,1993-02-23
107,공공주택(의무관리),한라비발디,전포동 362-64,전포대로 156,35,2,511,2005-08-26
108,공공주택(의무관리),한웅인터빌,전포동 362-62,전포대로 162,19,1,402,2004-06-21
109,공공주택(의무관리),선경성지곡,초읍동 271-4,새싹로 221,15,7,314,1982-06-17
110,공공주택(의무관리),성지곡삼환,초읍동 360-1,성지곡로 67,12,3,230,2002-02-08
111,공공주택(의무관리),초읍대우아파트,초읍동 508,성지로94번길 85,23,3,363,2000-12-19
112,공공주택(의무관리),초읍대진아파트,초읍동 322-1,성지곡로 60,10,2,160,1992-07-30
113,공공주택(의무관리),초읍우신그린피아,초읍동 505,성지로114번길 66,22,1,190,2000-04-26
114,공공주택(의무관리),초읍한신아파트,초읍동 365,월드컵대로 449,23,1,318,1996-04-06
115,공공주택(의무관리),혜도인파크에비뉴연지,초읍동 671,새싹로 229,29,2,160,2018-02-21
116,공공주택(의무관리),개금역스마트W,개금동 451-12,가야대로 411,15,1,224,2016-10-31
117,공공주택(의무관리),범내골역 한라비발디STUDIO,범천동 1000-24,범천로 22,25,1,150,2013-09-13
118,공공주택(의무관리),범일역 이즈,범천동 886-41,범일로131번길 46,20,2,186,2019-07-24
119,공공주택(의무관리),양정퀸즈팰리스아파트,양정동 397-1,거제대로48번길 20,18,2,187,2017-03-31
120,공공주택(의무관리),몽뜨레,전포동 693-2,전포대로189번길 30,14,1,264,2013-12-26
121,공공주택(의무관리),삼정코아,전포동 878-26,동천로 134,15,1,215,2004-01-27
122,공공주택(의무관리),도개공영구임대아파트,개금동1-1,백양관문로77번길 145,15,6,990,1994-07-09
123,공공주택(의무관리),당감주공1단지(임대),당감동 797,백양산로53번길 125,25,3,383,1999-06-20
124,공공주택(의무관리),범천LH(임대주택),범천동 1644,신암로 66,37,2,533,2013-05-16
125,공공주택(의무관리),전포LH아파트,전포동 897,부산진구 중앙대로 862,28,2,794,2016-11-25
126,공공주택(의무관리),부산전포동사랑으로부영,전포동 903,동성로 82,24,8,500,2018-11-30
127,공공주택(의무관리),대동레미안 센트럴시티5,범천동 849-2,범일로192번길 10,20,1,187,
128,공동주택(임의관리),신우아파트(신우국민주택),"부암3동596-3,596-1",부암당산로 19,5,1,48,
129,공동주택(임의관리),서면,범전동263-5,범전로33번길 62-7,6,1,25,1974-08-28
130,공동주택(임의관리),동평상가,당감1동312-1,동평로95번길 16,5,1,47,1975-05-02
131,공동주택(임의관리),평화아파트,범천1동737-7,범일로153번길 17,5,2,69,1975-08-02
132,공동주택(임의관리),골든맨션,범천1동842-10,중앙번영로 22,5,1,25,1976-04-03
133,공동주택(임의관리),삼부본동,부암1동39-1,시민공원로19번길 80,5,2,56,1976-07-02
134,공동주택(임의관리),문화아파트,부암동 98-8,시민공원로 38,5,1,40,1976-09-14
135,공동주택(임의관리),성암아파트,부암1동80-8,시민공원로19번길 38,5,5,146,1976-10-16
136,공동주택(임의관리),서면아파트,전포4동 산99-46,진남로435번길 47,5,1,50,1976-11-08
137,공동주택(임의관리),서포아파트,전포2동 192-14,서전로57번길 42,5,1,50,1976-11-08
138,공동주택(임의관리),성지파크,초읍동134-5,초읍천로77번길 31,5,2,50,1977-02-25
139,공동주택(임의관리),부전점포아파트,부전동 573-26외31필지,중앙대로783번길 23,3,2,59,1977-11-22
140,공동주택(임의관리),중앙맨션,범천1동841-303,자유평화로37번길 45-8,8,1,33,1977-12-16
141,공동주택(임의관리),대성아파트,전포1동684-5,전포대로209번길 33,5,1,28,1978-02-25
142,공동주택(임의관리),삼익아파트,연지동376-8,새싹로 145,12,2,144,1978-03-02
143,공동주택(임의관리),신양맨션,개금1동613-1,진사로 27,5,4,170,1979-04-02
144,공동주택(임의관리),일산아파트,전포1동317-40,진남로356번길16,5,2,87,1979-06-27
145,공동주택(임의관리),성지맨션,초읍동225,성지로51번길 60,3,1,36,1979-12-11
146,공동주택(임의관리),태림맨션,개금1동산52-6,엄광로44번길 21,5,5,122,1979-12-31
147,공동주택(임의관리),성림맨션,초읍동268-1,성지로153본갈 148,5,3,50,1980-02-05
148,공동주택(임의관리),삼부로얄,부암1동80-6,시민공원로19번길 54,5,2,50,1980-07-05
149,공동주택(임의관리),대원주택,연지동15-1,동평로291번길 64-5,2,1,28,1980-08-08
150,공동주택(임의관리),태림맨션,초읍동293-6,초읍천로108번길 20,5,2,48,1980-12-05
151,공동주택(임의관리),영화주택,개금1동135-4,가야대로507번가길 18,5,1,40,1980-12-19
152,공동주택(임의관리),진일,가야2동634-1,냉정로253번길 11,5,1,45,1980-12-19
153,공동주택(임의관리),동원본동,당감3동479-8,백양대로136번길 76-13,5,1,45,1980-12-20
154,공동주택(임의관리),서면백양,당감1동479-6,백양대로136번길 76-15,5,1,40,1980-12-29
155,공동주택(임의관리),장미아파트,부암1동35-6,시민공원로19번길 72,5,1,30,1981-04-30
156,공동주택(임의관리),삼우아파트,가야2동160,가야공원로14번길 18,5,1,45,1981-08-01
157,공동주택(임의관리),우진아파트,개금3동424-9,개금본동로9번길 77,5,1,32,1981-08-12
158,공동주택(임의관리),동원아파트,당감3동486,백양대로136번길 80,5,2,125,1981-09-25
159,공동주택(임의관리),서면로얄,범천4동1127,엄광로 394,5,4,159,1981-12-07
160,공동주택(임의관리),서면무궁화,"당감3동479-2,495-9",당감로17번길 90,5,16,594,1981-12-18
161,공동주택(임의관리),진일아파트,개금3동410,개금본동로66번길 28,5,1,30,1982-01-18
162,공동주택(임의관리),한우아파트,전포1동339-2,서전로58번길 65,5,1,29,1982-02-26
163,공동주택(임의관리),보광맨션,가야2동611,가야공원로38번길 23,5,1,24,1982-06-11
164,공동주택(임의관리),대명,전포동33-371,전포대로276번길 50,3,1,24,1983-01-10
165,공동주택(임의관리),초원아파트,양정1동463-1,동평로 329-1,5,1,20,1983-03-21
166,공동주택(임의관리),보광맨션,가야2동617-8,냉정로 261,5,2,40,1983-05-07
167,공동주택(임의관리),한일맨션,"초읍동215-22,544-17",성지로 82,5,3,175,1983-07-16
168,공동주택(임의관리),대산아파트,전포1동327-84,진남로356번길 30,5,1,49,1983-07-18
169,공동주택(임의관리),부원아파트,양정2동406-6,중앙대로941번길 11,6,1,78,1983-12-19
170,공동주택(임의관리),협성아파트,부암동289-42,백양대로34번길 39,5,1,70,1984-02-01
171,공동주택(임의관리),무궁화3차,당감3동480-12,당감서로 21,5,3,60,1984-02-09
172,공동주택(임의관리),우영,전포1동327-22,진남로356번길 22,5,1,45,1984-03-05
173,공동주택(임의관리),범천철도,범천2동1252-70,신암로 83번길 13,5,1,50,1984-03-09
174,공동주택(임의관리),하나로맨션,범천2동1284-7,만리산로 46,6,3,102,1984-03-09
175,공동주택(임의관리),동원아파트,부암1동315-64,동평로181번길 29-17,3,1,25,1984-05-04
176,공동주택(임의관리),일동대영,연지동172,동평로229번길 5,15,1,123,1984-05-24
177,공동주택(임의관리),대진아파트,전포3동328-4,진남로328번길 24,5,1,20,1984-05-29
178,공동주택(임의관리),동원아파트,부암1동319,동평로181번길 29-17,5,7,242,1984-08-16
179,공동주택(임의관리),금호천지,부암3동380-7,동평로119번길 59,5,1,49,1984-11-13
180,공동주택(임의관리),산호아파트,양정2동271-2,연수로 29,5,5,156,1985-03-04
181,공동주택(임의관리),이화맨션,가야3동459-16,엄광로 166,5,3,125,1985-05-18
182,공동주택(임의관리),한림빌라,부암3동452-35,백양순환로123번길 30,5,1,48,1985-06-03
183,공동주택(임의관리),해운,가야3동산32-1,엄광로 159,5,4,185,1985-06-29
184,공동주택(임의관리),일산,가야2동611-5,가야대로510번길 78,5,5,264,1985-09-10
185,공동주택(임의관리),마마맨션,가야2동599-5,가야공원로 36,5,1,48,1985-09-16
186,공동주택(임의관리),동원맨션,가야2동657-50,엄광로 70,5,9,224,1985-09-16
187,공동주택(임의관리),협성맨션,개금1동492-10,가야대로 432,6,2,84,1985-12-16
188,공동주택(임의관리),로얄아파트,연지동198-1,국악로 5,5,8,260,1986-01-15
189,공동주택(임의관리),협동,범천2동1287-2,신암로39번길 32,5,1,34,1986-08-19
190,공동주택(임의관리),새영진,가야1동5-56,가야대로668번가길 9,5,2,48,1986-08-20
191,공동주택(임의관리),삼성,당감4동770,당감서로 112,5,3,144,1986-09-12
192,공동주택(임의관리),부암미주공동,부암1동332-6,동평로131번길 8,6,3,198,1986-09-13
193,공동주택(임의관리),한일하나로,가야2동648,가야공원로38번길 81,5,4,150,1987-03-20
194,공동주택(임의관리),철도,개금3동281-5,개금온정로28번길 6,5,1,25,1987-07-22
195,공동주택(임의관리),한일하나로,초읍동182-3,성지로114번길 14,5,2,30,1987-11-03
196,공동주택(임의관리),백산,당감4동768-1,백양순환로 51,5,5,248,1988-05-11
197,공동주택(임의관리),영진,가야1동5-44,가야대로668번가길 28,6,2,65,1991-01-10
