연번,구분,단지명,소재지 지번주소,소재지 도로명주소,층수,동수, 세대수 ,준공일
374,도시형 생활주택(임의관리),큐브빌,부산진구 부암동669-31,신천대로220번길77-4,9,1,20,2017-07-28
375,도시형 생활주택(임의관리),한일원룸,부산진구 가야동464-104,엄광로182번길15-18,5,1,28,2011-02-16
376,도시형 생활주택(임의관리),정욱빌,부산진구 가야동414-2,엄광로202,4,1,20,2010-12-03
377,도시형 생활주택(임의관리),블루오션,부산진구 가야동361-280,엄광로248번길14,5,1,29,2011-03-15
378,도시형 생활주택(임의관리),더블루,부산진구 개금동540-236,엄광로36-7,13,1,121,2018-11-06
379,도시형 생활주택(임의관리),포세이돈,부산진구 양정동270-5,연수로11번길43,15,1,34,2016-04-11
380,도시형 생활주택(임의관리),양정원룸,부산진구 양정동144-4,연수로11번길58,6,1,24,2019-02-21
381,도시형 생활주택(임의관리),양정수목하우스,부산진구 양정동145-16,연수로11번길69,10,1,20,2016-09-05
382,도시형 생활주택(임의관리),동국에버리치,부산진구 양정동147-5,연수로11번길79,11,1,36,2015-12-09
383,도시형 생활주택(임의관리),양정퀸즈더블유에디션,부산진구 양정동271-9,연수로37,17,1,60,2019-01-23
384,도시형 생활주택(임의관리),동우 오필리아,부산진구 전포동558-0,전포대로300번길35,13,1,20,2017-07-21
385,도시형 생활주택(임의관리),하이츠빌,부산진구 양정동261-16,중앙대로969번길30-11,5,1,28,2011-04-18
386,도시형 생활주택(임의관리),대신리치,부산진구 양정동144-17,중앙대로970번가길7,5,1,20,2010-04-05
387,도시형 생활주택(임의관리),수목하우스,부산진구 양정동141-10,중앙대로980번길41,14,1,22,2017-07-18
388,도시형 생활주택(임의관리),노블레스,부산진구 양정동257-3,거제천로40번길8,6,1,24,2011-11-02
389,도시형 생활주택(임의관리),유림위너스,부산진구 양정동312-7,거제천로2,9,1,20,2017-04-25
390,도시형 생활주택(임의관리),서부주택,부산진구 부전동420-5,가야대로755번길35,8,1,20,2011-12-22
391,도시형 생활주택(임의관리),뉴월드빌,부산진구 양정동186-1,진연로9번길36,5,1,24,2011-12-05
392,도시형 생활주택(임의관리),세르빌,부산진구 개금동523-37,복지로21번길13-5,7,1,20,2012-10-02
393,도시형 생활주택(임의관리),스타파크,부산진구 범천동878-6,범일로169-1,20,1,55,2017-04-20
394,도시형 생활주택(임의관리),더원펠리스C동,부산진구 부전동408-19,가야대로755번길64-8,6,1,20,2011-06-24
395,도시형 생활주택(임의관리),개금코아팰리스,부산진구 개금동188-10,개금온정로6-1,15,1,46,2015-04-30
396,도시형 생활주택(임의관리),,부산진구 양정동313-13,거제천로7,6,1,28,2017-01-16
397,도시형 생활주택(임의관리),양지코쿤빌 24차,부산진구 개금동617-15,냉정로178번길30-5,6,1,24,2009-12-07
398,도시형 생활주택(임의관리),프리미엄안단테,부산진구 전포동644-1,동천로132번길42,14,1,36,2015-06-23
399,도시형 생활주택(임의관리),양정클래스원,부산진구 양정동386-3,동평로400,18,1,77,2016-12-16
400,도시형 생활주택(임의관리),범천동이즈팰리스,부산진구 범천동974-4,범천로12번길7,15,1,64,2016-12-28
401,도시형 생활주택(임의관리),대동레미안5,부산진구 개금동177-109,복지로21번길39-5,6,1,20,2014-02-11
402,도시형 생활주택(임의관리),영진파크,부산진구 전포동345-16,서전로58번길84,20,1,29,2019-01-11
403,도시형 생활주택(임의관리),수목하우스,부산진구 양정동343-3,양지로5번길77,15,1,24,2015-01-30
404,도시형 생활주택(임의관리),스윗팰리스,부산진구 전포동312-31,전포대로204,20,1,72,2018-05-21
405,도시형 생활주택(임의관리),블루스퀘어,부산진구 전포동306-10,전포대로224번길18,6,1,28,2014-01-22
406,도시형 생활주택(임의관리),스위트원룸,부산진구 전포동306-5,전포대로224번길22,8,1,24,2016-12-16
407,도시형 생활주택(임의관리),수정캐슬,부산진구 양정동272-2,중앙대로962-2,10,1,28,2014-01-27
408,도시형 생활주택(임의관리),다사랑빌,부산진구 양정동141-5,중앙대로980번길33,12,1,27,2016-09-07
409,도시형 생활주택(임의관리),,부산진구 양정동235-0,진연로9번길12,7,1,24,2014-02-24
410,도시형 생활주택(임의관리),유성해네스타워,부산진구 전포동362-3,전포대로170,22,1,126,2014-03-21
411,도시형 생활주택(임의관리),토포필리아,부산진구 전포동643-0,서전로47번길47,13,1,122,2011-01-19
412,도시형 생활주택(임의관리),영원렉스빌,부산진구 전포동355-10,서전로58번길107,7,1,24,2013-11-14
413,도시형 생활주택(임의관리),평광우리가,부산진구 범천동875-11,신천대로65번길90,12,1,120,2015-05-22
414,도시형 생활주택(임의관리),수목하우스,부산진구 양정동343-3,양지로5번길77,15,1,22,2015-01-30
415,도시형 생활주택(임의관리),동진파크빌,부산진구 부전동508-28,가야대로750번길10,9,1,24,2014-09-16
416,도시형 생활주택(임의관리),프로그폴리스,부산진구 부전동414-2,가야대로755번길51,9,1,24,2014-02-28
417,도시형 생활주택(임의관리),한진스카이뷰,부산진구 양정동399-1,거제대로46,26,1,96,2015-03-03
418,도시형 생활주택(임의관리),수목하우스마동,부산진구 전포동650-0,서전로47번길41-9,8,1,24,2014-03-03
419,도시형 생활주택(임의관리),수목하우스라동,부산진구 전포동650-1,전포대로255번길18,8,1,24,2014-03-03
420,도시형 생활주택(임의관리),베스아이,부산진구 전포동661-7,서전로37번길19,12,1,45,2015-03-20
421,도시형 생활주택(임의관리),동경에이스,부산진구 가야동1-6,가야대로679번길11,7,1,24,2011-02-15
422,도시형 생활주택(임의관리),,부산진구 양정동273-28,거제천로18번길18,5,1,20,2011-06-07
423,도시형 생활주택(임의관리),은하수빌 B동,부산진구 부전동109-11,중앙대로756번길78-9,7,1,24,2013-01-30
424,도시형 생활주택(임의관리),청안에버빌,부산진구 부전동126-3,중앙대로756번길18-6,10,1,40,2014-06-12
425,도시형 생활주택(임의관리),우진스위트,부산진구 양정동142-5,중앙대로980번길27-5,8,1,20,2015-11-23
426,도시형 생활주택(임의관리),보성오페라블루,부산진구 양정동257-23,동평로405번길103,8,1,20,2014-03-13
427,도시형 생활주택(임의관리),대동레미안6,부산진구 개금동177-189,복지로21번길39-1,7,1,24,2014-01-27
428,도시형 생활주택(임의관리),서면동화더파크,부산진구 부전동424-5,가야대로747번길11,15,1,27,2015-05-22
429,도시형 생활주택(임의관리),스카이타워,부산진구 부전동511-7,가야대로756번길32,9,1,20,2014-02-18
430,도시형 생활주택(임의관리),세원하우스,부산진구 부전동122-8,동천로107번길12-21,10,1,32,2015-07-22
431,도시형 생활주택(임의관리),동양캐슬,부산진구 부전동415-5,부전로111번길27,9,1,20,2014-04-29
432,도시형 생활주택(임의관리),베네치아타워,부산진구 부전동511-8,부전로65번길14,9,1,20,2014-02-18
433,도시형 생활주택(임의관리),세원하우스,부산진구 부전동466-28,부전로95번길9,9,1,24,2014-07-29
434,도시형 생활주택(임의관리),제나두,부산진구 양정동236-3,진연로9,8,1,24,2012-12-20
435,도시형 생활주택(임의관리),,부산진구 부전동423-4,부전로95번길40,10,1,23,2011-07-14
436,도시형 생활주택(임의관리),,부산진구 전포동363-57,서전로58번길137,6,1,20,2011-04-20
437,도시형 생활주택(임의관리),럭스빌,부산진구 부전동425-31,가야대로755번길11-8,6,1,20,2011-05-26
438,도시형 생활주택(임의관리),제니스빌,부산진구 전포동306-15,서전로58번길37-7,6,1,20,2010-08-12
439,도시형 생활주택(임의관리),더원펠리스B동,부산진구 부전동408-37,가야대로755번길64-6,6,1,20,2011-09-30
440,도시형 생활주택(임의관리),진일아파트,부산진구 가야동634-1,냉정로253번길13,5,1,44,1980-12-19
441,도시형 생활주택(임의관리),그린빌,부산진구 가야동558-0,가야대로548번길114,5,1,28,2010-08-05
442,도시형 생활주택(임의관리),둥지빌,부산진구 가야동464-71,대학로86,5,1,28,2010-02-04
443,도시형 생활주택(임의관리),쁘띠메종,부산진구 양정동355-2,양지로11번길30,6,1,20,2011-11-23
444,도시형 생활주택(임의관리),동원에이스,부산진구 가야동414-9,엄광로196,5,1,36,2010-04-01
445,도시형 생활주택(임의관리),장미빌,부산진구 가야동408-38,엄광로212번길10,4,1,28,2007-09-18
446,도시형 생활주택(임의관리),로얄캐슬,부산진구 양정동114-2,연제로27번길28,5,1,24,2011-02-25
447,도시형 생활주택(임의관리),,부산진구 양정동358-1,진남로502,5,1,29,2011-02-10
448,도시형 생활주택(임의관리),Golden House,부산진구 양정동238-8,진연로9번길8,6,1,20,2010-06-28
449,도시형 생활주택(임의관리),벽산빌,부산진구 개금동554-212,복지로41번길19,5,1,28,2011-03-08
450,도시형 생활주택(임의관리),리치빌,부산진구 개금동533-7,복지로21번길12-9,7,1,20,2011-12-06
451,도시형 생활주택(임의관리),더원 펠리스,부산진구 부전동109-3,중앙대로756번길18-5,6,1,20,2010-12-08
452,도시형 생활주택(임의관리),유한빌,부산진구 전포동308-2,전포대로216번길16,7,1,20,2011-11-15
453,도시형 생활주택(임의관리),해든빌,부산진구 양정동137-2,중앙대로980번길 51,6,1,24,2011-10-20
454,도시형 생활주택(임의관리),마메종,부산진구 개금동169-27,가야공원로14번길77,6,1,20,2011-09-28
455,도시형 생활주택(임의관리),스마트원룸,부산진구 가야동416-11,대학로82,10,1,99,2012-02-02
456,도시형 생활주택(임의관리),블루스카이,부산진구 범천동1215-12,신암로117번길37-5,9,1,28,2013-06-21
457,도시형 생활주택(임의관리),더나이스,부산진구 전포동891-47,전포대로157-2,10,1,56,2014-02-21
458,도시형 생활주택(임의관리),포세이돈에이,부산진구 전포동662-14,동천로108번길19,10,1,40,2014-07-01
459,도시형 생활주택(임의관리),포세이돈비,부산진구 전포동662-9,서전로37번길17-2,10,1,40,2014-07-01
460,도시형 생활주택(임의관리),더샵골드6,부산진구 전포동147-2,전포대로300번길49,15,1,50,2018-09-21
461,도시형 생활주택(임의관리),,부산진구 부전동417-6,가야대로755번길26,12,1,48,2017-01-10
462,도시형 생활주택(임의관리),수목하우스 A동,부산진구 양정동321-11,동평로397번길5,10,1,24,2017-08-14
463,도시형 생활주택(임의관리),라인힐스,개금동 616-7 외1필지,냉정로178번길 30-4,7,1,9,2022-05-06
464,도시형 생활주택(임의관리),양지코쿤,가야동 508-1,가야공원로63번길 17,6,1,9,2021-08-11
465,도시형 생활주택(임의관리),라인빌,연지동 37-20,성지로14번길 39,5,1,12,2021-11-12
466,도시형 생활주택(임의관리),라인빌,양정동 506-32,범양로119번길 10,5,1,8,2021-10-13
467,도시형 생활주택(임의관리),마크타워1오피스텔,부전동 423-3 외1필지,가야대로747번길 19,14,1,18,2021-08-10
468,도시형 생활주택(임의관리),시민공원일동미라주시티,부암동 304-14,동평로192,28,1,250,2022-01-28
469,도시형 생활주택(임의관리),이랜드PEER서면,부전동 536-18 외1필지,중앙대로664,33,1,299,2022-01-13
470,주상복합(임의관리),예일프라자,전포2동661-2,서전로37번길 25-9,9,1,24,1987-05-21
471,주상복합(임의관리),광동포시즌텔,부전1동 420-22,가야대로755번길 29-26,7,1,35,1998-11-25
472,주상복합(임의관리),신화하이빌,초읍동279-9,초읍천로108번길 56,10,1,36,2001-11-14
473,주상복합(임의관리),금호그랜드타운,당감2동109-4,가야대로 635-12,16,1,130,2001-07-21
474,주상복합(임의관리),전원타워빌,양정2동145-12,연수로11번길 57,12,1,44,2001-08-16
475,주상복합(임의관리),유인인터빌아파트,범천2동1291-18,신암로 25-6,14,1,60,2002-03-30
476,주상복합(임의관리),새롬하이빌,연지동23-1,동평로291번길 54,10,2,48,2002-04-11
477,주상복합(임의관리),서면시즈빌아파트,당감2동 69-4,가야대로703번길 30,14,1,97,2002-08-12
478,주상복합(임의관리),덕임디오네빌,연지동 72-4,성지로 8,10,1,54,2002-08-19
479,주상복합(임의관리),한성시트빌,전포2동 172-3,전포대로 280,17,1,58,2002-08-22
480,주상복합(임의관리),경원프라우드빌,전포3동 890-35,전포대로171번길 23,15,1,25,2002-09-06
481,주상복합(임의관리),태석해오름아파트,부전2동 674,신천대로165번길 36,12,1,36,2003-04-25
482,주상복합(임의관리),동연아미가,전포2동 635-1,동성로 133,15,1,84,2003-07-08
483,주상복합(임의관리),범천동프렌빌,범천1동875-24,신천대로71번길 49,15,1,143,2003-07-08
484,주상복합(임의관리),골드스카이80,당감2동 1022,가야대로 695,12,1,41,2003-08-20
485,주상복합(임의관리),보영미네르빌,부전2동 508-22,가야대로750번길 6,15,1,107,2003-10-13
486,주상복합(임의관리),금오파크뷰,연지동 42-3,동평로 273,15,1,67,2003-10-17
487,주상복합(임의관리),경원프라우드빌-2,전포3동 890-37,전포대로 163,15,1,132,2003-10-21
488,주상복합(임의관리),세운이노빌,범천1동 859-16,황령대로 23,15,1,135,2003-10-21
489,주상복합(임의관리),위너비타,전포1동 674-1,서전로 46,15,1,51,2003-11-19
490,주상복합(임의관리),에이치와이원룸,부전1동 417-8,부전로 101,13,1,81,2003-11-24
491,주상복합(임의관리),아세만화니-뜨,양정2동 7-9,연수로 62,15,1,39,2003-12-19
492,주상복합(임의관리),서면그린빌,범천4동 1067-39,가야대로 708,15,1,52,2003-12-30
493,주상복합(임의관리),대우리치빌,전포2동 554-2,전포대로306번길 10,12,1,55,2003-04-30
494,주상복합(임의관리),동조리젠시,범천4동980-4,신암로 86-1,14,1,48,2003-05-16
495,주상복합(임의관리),동양크리스탈,범천1동839-18,자유평화로37번길 13,15,1,26,2003-05-29
496,주상복합(임의관리),보해이브빌,전포1동695-5,전포대로 179,15,1,78,2003-06-12
497,주상복합(임의관리),덕포그랜드힐,양정2동272-15,연수로11번길 31,12,1,30,2003-06-24
498,주상복합(임의관리),한성타운101,전포2동 178-70,동성로118번길 16,15,1,40,2004-03-29
499,주상복합(임의관리),지산오차드힐,연지동 72-30,동평로 263,15,1,36,2004-04-19
500,주상복합(임의관리),청아리치타운,전포2동 595-20 외1필지,동성로 140,15,1,84,2004-04-23
501,주상복합(임의관리),탑패밀리,범천2동 1589-27 외1필지,신천대로 167,15,1,130,2004-04-28
502,주상복합(임의관리),한성타운102,전포2동 178-25,동성로118번길 16,6,1,35,2004-04-30
503,주상복합(임의관리),코이노빌,부전1동 42-1,부전로191,15,1,40,2004-05-15
504,주상복합(임의관리),대원플러스빌,양정1동 370-4,동평로 416,20,1,72,2004-06-02
505,주상복합(임의관리),로얄파크빌,개금1동 177-181 외1필지,복지로 29-1,11,1,23,2004-06-29
506,주상복합(임의관리),부암동리젠트힐,부암1동 65-17 외2필지,신천대로 242,15,1,66,2004-10-15
507,주상복합(임의관리),삼성비치타운,부전1동 122-1 외3필지,중앙대로756번길 18-10,13,1,79,2004-10-27
508,주상복합(임의관리),유원타워,부전2동 560-16,신천대로165번길 13,14,1,57,2005-03-07
509,주상복합(임의관리),대동레미안,범천1동 859-7,중앙대로644번길 62,20,1,34,2005-03-09
510,주상복합(임의관리),글로벌타워,개금1동 515-6,가야대로 458,20,1,68,2005-05-04
511,주상복합(임의관리),동원퀸스빌,범천동 1197-8,신암로 107,15,1,60,2005-06-09
512,주상복합(임의관리),신화골든뷰,전포2동 194-14,전포대로 194-14,20,1,68,2005-11-11
513,주상복합(임의관리),동우주택,범천동 1230-193,신암로 89,14,1,24,2005-11-14
514,주상복합(임의관리),몽레브,가야2동 619-7,가야공원로14번길 37,8,1,21,2006-05-30
515,주상복합(임의관리),현호네오빌,부전2동 631,신천대로 134,15,1,33,2007-02-27
516,주상복합(임의관리),한신센타뷰,가야1동 56-2,가야대로 597,20,1,128,2007-04-24
517,주상복합(임의관리),에스엔디파인빌,부전2동 532-9,부전로 7,15,1,114,2007-06-25
518,주상복합(임의관리),엘리시아,양정2동 270-3 외1필지,중앙대로 966,15,1,39,2007-08-13
519,주상복합(임의관리),개금동 아이리스 5차 에비뉴,개금동177-149,가야대로468번길11,20,1,60,2018-12-27
520,주상복합(임의관리),개금역 대상웰리움,개금동165-2,가야대로498번길14,15,1,102,2017-07-19
521,주상복합(임의관리),서면루미랑스,부암동680-18,가야대로747번길62,17,1,42,2019-04-25
522,주상복합(임의관리),개금블루스카이,개금동198-1,개금온정로6,15,1,40,2015-09-30
523,주상복합(임의관리),굿모닝뷰,양정동388-2,거제대로60번길24,14,1,44,2016-08-30
524,주상복합(임의관리),,범천동842-3,범일로154번길55,19,1,64,2018-06-21
525,주상복합(임의관리),범천 SJ FABER,범천동882-24,범일로161-1,20,1,112,2019-03-22
526,주상복합(임의관리),대동레미안 센트럴시티,부전동474-51,부전로108,19,1,144,2019-04-05
527,주상복합(임의관리),명가포레스트,전포동193-33,서전로57번길41,15,1,38,2019-04-17
528,주상복합(임의관리),연지동 백리명가 에덴,연지동41-5,성지로8번길40,14,1,39,2017-07-25
529,주상복합(임의관리),서면 라이포레,범천동1055-1,신천대로165번길10,20,1,69,2017-12-22
530,주상복합(임의관리),홍림로얄뷰,당감동71-5,신천대로183번길64-15,15,1,78,2015-12-07
531,주상복합(임의관리),야긴 다하임,부암동669-18,신천대로220번길77-1,15,1,42,2017-08-18
532,주상복합(임의관리),샛별스위트,양정동7-12,양연로6번길12,14,1,29,2017-08-08
533,주상복합(임의관리),전포 유림노르웨이숲,전포동362-65,전포대로148,147,1,147,2019-05-14
534,주상복합(임의관리),동양팰리스,전포동194-7,전포대로246번길6,25,1,123,2016-06-02
535,주상복합(임의관리),,전포동194-14,전포대로250,20,1,68,2005-11-11
536,주상복합(임의관리),리츠캐슬,범천동842-28,중앙번영로26,15,1,78,2019-03-08
537,주상복합(임의관리),유창아이리치,개금동171-49,냉정로223,15,1,78,2019-04-01
538,주상복합(임의관리),금광예다움,연지동156-12,동평로223번길17-9,13,1,21,2017-03-09
539,주상복합(임의관리),서면 TK 골드뷰,부전동454-2,신천대로100,15,1,40,2017-02-27
540,주상복합(임의관리),,양정동271-4,중앙대로970번길18,13,1,28,2017-01-06
541,주상복합(임의관리),세원수아파트,당감동70-5,가야대로703번길26,15,1,50,2016-06-13
542,주상복합(임의관리),메리온시티,양정동387-19,거제대로52,20,1,57,2017-01-04
543,주상복합(임의관리),더샵골드3,범천동841-1,자유평화로37번길51,14,1,40,2015-09-07
544,주상복합(임의관리),양정센텀,양정동109-9,연수로57,15,1,95,2015-02-12
545,주상복합(임의관리),,개금동424-9,개금본동로9번길 77,5,1,32,1981-08-12
546,주상복합(임의관리),삼성비치타운,부전동122-1,중앙대로756번길18-1,13,1,79,2004-10-27
547,주상복합(임의관리),범천동 건오힐타워,당감동976-0,가야대로711,24,1,69,2004-07-15
548,주상복합(임의관리),연지동삼정그린코아,연지동192-9,동평로235번길19,15,1,69,2016-05-16
549,주상복합(임의관리),스윗팰리스,연지동41-10,성지로8번길36,14,1,52,2016-07-29
550,주상복합(임의관리),해오름2차,부전동674-1,신천대로165번길38,12,1,42,2004-12-20
551,주상복합(임의관리),우일아내트,범천동844-3,중앙번영로12-1,20,1,85,2018-11-28
552,주상복합(임의관리),,범천동842-11,범일로154번길49,15,1,56,2017-01-12
553,주상복합(임의관리),세원秀아파트,초읍동173-8,성지로130,15,1,98,2018-04-27
554,주상복합(임의관리),TK 골드뷰,범천동842-4,범일로154번길61,15,1,30,2014-11-25
555,주상복합(임의관리),,가야동617-8,냉정로261,5,1,20,1983-05-07
556,주상복합(임의관리),가남아파트 1호동,가야동450-2,대학로64-1,5,1,28,1982-04-13
557,주상복합(임의관리),반도맨숀,초읍동252-1,성지로93번길30,4,1,36,1981-03-21
558,주상복합(임의관리),대동레미안 더 오션,부전동415-1,부전로111번길15,12,1,75,2017-03-16
559,주상복합(임의관리),,부전동410-5,가야대로755번길55-4,5,1,20,1976-05-08
560,주상복합(임의관리),산정아파트,양정동138-10,연수로47-2,6,1,32,1975-07-05
561,주상복합(임의관리),골든엠파이어,당감동880-4,신천대로191,15,1,27,2014-12-10
562,주상복합(임의관리),대동레미안 센트럴시티5,범천동 849-2,범일로192번길 10,20,1,187,2019-11-05
,,,,,,,,
