구분,새주소,행정동
아파트,강남구 압구정로 151,신사동
아파트,강남구 압구정로11길 17,신사동
아파트,강남구 압구정로 113,신사동
아파트,강남구 압구정로2길 20,신사동
아파트,강남구 강남대로112길 41,논현1동
주상복합,강남구 학동로 165,논현1동
아파트,강남구 논현로111길 39,논현1동
아파트,강남구 봉은사로11길 12,논현1동
주상복합,강남구 학동로4길 15,논현1동
아파트,강남구 강남대로146길 28,논현1동
아파트,강남구 봉은사로21길19,논현1동
아파트,강남구 언주로146길 18,논현2동
아파트,강남구 도산대로50길 43,논현2동
아파트,강남구 언주로116길 12,논현2동
아파트,강남구 언주로136길 21,논현2동
아파트,강남구 도산대로50길 54,논현2동
아파트,강남구 학동로30길 21,논현2동
아파트,강남구 언주로116길 6,논현2동
아파트,강남구 학동로43길 30,논현2동
아파트,강남구 도산대로46길 21,논현2동
아파트,강남구 언주로130길 30,논현2동
아파트,강남구 도산대로30길 56,논현2동
아파트,강남구 학동로46길 38,논현2동
아파트,강남구 언주로122길 25,논현2동
아파트,강남구 학동로38길 22,논현2동
아파트,강남구 언주로 604,논현2동
아파트,강남구 압구정로 321,압구정동
아파트,강남구 압구정로29길 71,압구정동
아파트,강남구 압구정로 313,압구정동
아파트,강남구 압구정로 309,압구정동
아파트,강남구 압구정로 401,압구정동
아파트,강남구 압구정로 403,압구정동
아파트,강남구 압구정로29길 57,압구정동
아파트,강남구 언주로167길 15,압구정동
아파트,강남구 압구정로50길 28,압구정동
아파트,강남구 압구정로48길 15,압구정동
아파트,강남구 압구정로42길 78,압구정동
아파트,강남구 언주로167길 9,압구정동
아파트,강남구 압구정로42길 36,압구정동
아파트,강남구 학동로 609,청담동
아파트,강남구 학동로87길 7,청담동
아파트,강남구 학동로87길 9,청담동
아파트,강남구 선릉로 748,청담동
아파트,강남구 도산대로101길 34,청담동
아파트,강남구 도산대로89길 49,청담동
연립,강남구 도산대로78길 34,청담동
아파트,강남구 학동로105길 30,청담동
아파트,강남구 삼성로133길 20,청담동
아파트,강남구 도산대로101길 29,청담동
아파트,강남구 도산대로96길 39,청담동
아파트,강남구 학동로 405,청담동
아파트,강남구 학동로 409,청담동
아파트,강남구 학동로77길 49,청담동
아파트,강남구 학동로77길 27,청담동
아파트,강남구 학동로63길 13,청담동
아파트,강남구 삼성로135길 47,청담동
아파트,강남구 도산대로92길 10,청담동
아파트,강남구 삼성로147길 22,청담동
주상복합,강남구 언주로 30길 26,청담동
아파트,강남구 학동로63길 14,청담동
아파트,강남구 도산대로70길 43,청담동
아파트,강남구 학동로97길 31,청담동
아파트,강남구 도산대로70길 25,청담동
아파트,강남구 도산대로78길 51,청담동
아파트,강남구 선릉로132길 54,청담동
아파트,강남구 학동로73길 33,청담동
아파트,강남구 영동대로138길 12,청담동
아파트,강남구 영동대로142길 16,청담동
아파트,강남구 영동대로142길 25,청담동
아파트,강남구 학동로73길 13,청담동
아파트,강남구 학동로97길 51,청담동
아파트,강남구 영동대로128길 15,삼성1동
연립,강남구 영동대로118길 13,삼성1동
연립,강남구 영동대로114길 55,삼성1동
아파트,강남구 영동대로128길 5,삼성1동
아파트,강남구 영동대로112길 15,삼성1동
아파트,강남구 봉은사로111길 34,삼성1동
아파트,강남구 봉은사로111길 26,삼성1동
아파트,강남구 봉은사로105길 12-7,삼성1동
아파트,강남구 봉은사로113길 25,삼성1동
아파트,강남구 영동대로114길 63,삼성1동
아파트,강남구 삼성로 629,삼성1동
아파트,강남구 봉은사로111길 25,삼성1동
아파트,강남구 영동대로 640,삼성1동
아파트,강남구 봉은사로81길 8,삼성1동
아파트,강남구 봉은사로109길 14-8,삼성1동
아파트,강남구 영동대로114길 56,삼성1동
아파트,강남구 영동대로114길 56,삼성1동
아파트,강남구 영동대로114길 56,삼성1동
아파트,강남구 영동대로114길 56,삼성1동
아파트,강남구 영동대로112길 67,삼성1동
아파트,강남구 학동로 412,삼성2동
아파트,강남구 학동로 420,삼성2동
아파트,강남구 테헤란로77길 22,삼성2동
아파트,강남구 학동로 408,삼성2동
연립,강남구 선릉로 604,삼성2동
아파트,강남구 선릉로130길 19,삼성2동
아파트,강남구 학동로64길 7,삼성2동
아파트,강남구 학동로64길 14,삼성2동
아파트,강남구 학동로 432,삼성2동
아파트,강남구 삼성로99길 14,삼성2동
아파트,강남구 봉은사로73길 23,삼성2동
아파트,강남구 선릉로130길 33,삼성2동
주상복합,강남구 테헤란로63길 12,삼성2동
아파트,강남구 테헤란로79길 4,삼성2동
아파트,강남구 테헤란로77길 26,삼성2동
아파트,강남구 학동로68길 30,삼성2동
아파트,강남구 선릉로112길 53,삼성2동
아파트,강남구 봉은사로72길 33,삼성2동
아파트,강남구 선릉로126길 22,삼성2동
아파트,강남구 선릉로130길 20,삼성2동
아파트,강남구 학동로68길 7,삼성2동
아파트,강남구 삼성로111길 8,삼성2동
아파트,강남구 선릉로 120,대치1동
아파트,강남구 삼성로 151,대치1동
아파트,강남구 남부순환로395길 10,대치1동
아파트,강남구 도곡로78길 22,대치1동
아파트,강남구 선릉로 206,대치1동
아파트,강남구 도곡로 404,대치1동
아파트,강남구 선릉로 222,대치1동
아파트,"강남구 삼성로51길 37(1단지)
강남구 삼성로51길 35(2단지)",대치1동
아파트,강남구 삼성로51길 25,대치1동
아파트,강남구 삼성로212,대치2동
아파트,강남구 영동대로 210,대치2동
아파트,강남구 영동대로 220,대치2동
아파트,강남구 영동대로 230,대치2동
아파트,강남구 삼성로 150,대치2동
아파트,강남구 영동대로57길 28,대치2동
아파트,강남구 삼성로64길 5,대치2동
아파트,강남구 삼성로64길 12,대치2동
아파트,강남구 영동대로65길 57,대치2동
아파트,강남구 영동대로72길 10,대치2동
아파트,강남구 영동대로 330-7,대치2동
아파트,강남구 삼성로64길 40,대치2동
아파트,강남구 도곡로93길 12,대치2동
아파트,강남구 삼성로85길 11,대치4동
주상복합,강남구 선릉로90길 56,대치4동
주상복합,강남구 테헤란로 428,대치4동
아파트,강남구 삼성로 417,대치4동
아파트,강남구 선릉로76길 12,대치4동
아파트,강남구 도곡로3길 26,역삼1동
아파트,강남구 논현로 565,역삼1동
아파트,강남구 도곡로7길 22,역삼1동
주상복합,강남구 강남대로84길 33,역삼1동
아파트,강남구 도곡로21길 15,역삼1동
주상복합,강남구 테헤란로4길 46,역삼1동
아파트,강남구 도곡로13길 19,역삼1동
아파트,강남구 언주로70길 24,역삼2동
아파트,강남구 언주로 316,역삼2동
아파트,강남구 선릉로 423,역삼2동
주상복합,강남구 언주로86길 11,역삼2동
아파트,강남구 언주로86길 12,역삼2동
아파트,강남구 도곡로57길 9-7,역삼2동
아파트,강남구 언주로85길 13,역삼2동
주상복합,강남구 언주로 427,역삼2동
아파트,강남구 역삼로 240,역삼2동
아파트,강남구 역삼로 171,역삼2동
아파트,강남구 선릉로69길 19,역삼2동
아파트,강남구 선릉로69길 20,역삼2동
아파트,강남구 언주로 332,역삼2동
아파트,강남구 역삼로 314,역삼2동
아파트,강남구 역삼로 306,역삼2동
아파트,강남구 역삼로 307,역삼2동
아파트,강남구 역삼로19길 12,역삼2동
아파트,강남구 역삼로 309,역삼2동
아파트,강남구 도곡로57길 12,역삼2동
아파트,강남구 도곡로43길 20,역삼2동
아파트,강남구 도곡로43길 21,역삼2동
아파트,강남구 역삼로 315-1,역삼2동
아파트,강남구 테헤란로 52길 16,역삼2동
아파트,강남구 언주로 420,역삼2동
아파트,강남구 도곡로 320,도곡2동
아파트,강남구 광평로34길 35,수서동
아파트,강남구 남부순환로 365길 33,도곡1동
아파트,강남구 광평로60길 32,수서동
아파트,강남구 광평로34길 55,수서동
아파트,강남구 남부순환로36길 30,도곡1동
아파트,강남구 남부순환로378길 9,도곡2동
아파트,강남구 강남대로48길 24,도곡1동
아파트,강남구 도곡로14길 21,도곡1동
아파트,강남구 도곡로28길 8 ,도곡1동
아파트,강남구 도곡로14길 28,도곡1동
아파트,강남구 선릉로 221,도곡2동
주상복합,강남구 강남대로 240,도곡2동
아파트,강남구 논현로 209,도곡1동
주상복합,강남구 언주로30길 21,도곡2동
주상복합,강남구 강남대로 256,도곡1동
주상복합,강남구 언주로30길 26,도곡2동
아파트,강남구 도곡로4길 31,도곡1동
아파트,강남구 도곡로14길 12,도곡1동
주상복합,강남구 언주로30길 57,도곡2동
주상복합,강남구 언주로30길 56,도곡2동
아파트,강남구 남부순환로381길 15,도곡1동
아파트,강남구 남부순환로 2803,도곡2동
주상복합,강남구 언주로30길 10,도곡2동
주상복합,강남구 언주로30길 13,도곡2동
아파트,강남구 언주로 203,도곡1동
주상복합,강남구 언주로118길,도곡2동
아파트,강남구 남부순환로365길 5,도곡1동
아파트,강남구 논현로 213,도곡1동
아파트,강남구 논현로51길 25,도곡1동
아파트,강남구 남부순환로379길 14,도곡1동
아파트,강남구 도곡로18길 35,도곡1동
아파트,강남구 광평로39길 3,수서동
아파트,강남구 광평로51길 22,수서동
아파트,강남구 광평로56길 11,수서동
아파트,강남구 광평로51길 49,수서동
아파트,강남구 광평로51길 27,수서동
아파트,강남구 광평로47길 17,수서동
아파트,강남구 남부순환로365길 16,도곡1동
아파트,강남구 개포로 303,개포1동
아파트,강남구 언주로 110,개포1동
아파트,강남구 개포로 307,개포1동
아파트,강남구 개포로 516,개포2동
아파트,강남구 개포로 516,개포2동
아파트,강남구 삼성로4길 17,개포2동
아파트,강남구 개포로 409,개포2동
아파트,강남구 개포로 411,개포2동
아파트,강남구 언주로 107,개포4동
아파트,강남구 언주로 105,개포4동
아파트,강남구 언주로 3,개포4동
아파트,강남구 언주로 103,개포4동
아파트,강남구 광평로10길 15,일원본동
아파트,강남구 광평로19길 10,일원본동
아파트,강남구 광평로19길 15,일원본동
연립,강남구 광평로10길 50,일원본동
아파트,강남구 일원로14길 25,일원본동
아파트,강남구 일원로 127,일원본동
아파트,강남구 일원로 120,일원본동
아파트,강남구 광평로10길 6,일원본동
아파트,강남구 광평로31길 27,일원본동
아파트,강남구 개포로124길 27,일원1동
아파트,강남구 양재대로55길 12,일원1동
아파트,강남구 양재대로55길 10,일원1동
아파트,강남구 개포로110길 43,일원2동
아파트,강남구 개포로110길 21,일원2동
아파트,강남구 개포로110길 15,일원2동
아파트,강남구 개포로109길 5,일원2동
아파트,강남구 개포로109길 21,일원2동
아파트,강남구 개포로109길 9,일원2동
아파트,강남구 개포로109길 69,일원2동
아파트,강남구 논현로 205,도곡1동
아파트,강남구 언주로29길 34,도곡2동
아파트,강남구 남부순환로363길 49,도곡1동
아파트,강남구 남부순환로 2740,도곡2동
아파트,강남구 언주로 123,도곡2동
아파트,강남구 언주로 117,도곡2동
아파트,강남구 도곡로 242,도곡1동
아파트,강남구 논현로 218,도곡1동
연립,강남구 남부순환로373길 3,도곡1동
아파트,강남구 헌릉로590길 100,세곡동
아파트,강남구 헌릉로590길 10,세곡동
아파트,강남구 헌릉로590길 11,세곡동
아파트,강남구 헌릉로590길 88,세곡동
아파트,강남구 헌릉로590길 63,세곡동
아파트,강남구 자곡로 21,세곡동
아파트,강남구 헌릉로571길 20,세곡동
아파트,강남구 자곡로3길 22,세곡동
아파트,강남구 밤고개로21길 25,세곡동
아파트,강남구 자곡로 260,세곡동
아파트,강남구 자곡로 101,세곡동
아파트,강남구 자곡로3길 45,세곡동
아파트,강남구 자곡로 175,세곡동
아파트,강남구 자곡로3길 21,세곡동
아파트,강남구 밤고개로26길 50,세곡동
아파트,강남구 밤고개로27길 20,세곡동
연립,강남구 자곡로 36,세곡동
아파트,강남구 선릉로 8,개포2동
아파트,강남구 개포로110길 50,일원2동
아파트,"강남구 역삼로 434, 436, 438
강남구 선릉로72길 45
강남구 역삼로 74길 8",대치4동
연립,강남구 봉은사로 448,삼성2동
연립,"강남구 압구정로77길 43(A동)
강남구 압구정로 77길 39(B동)",청담동
다세대,강남구 언주로 620,논현2동
다세대,강남구 학동로82길 6,삼성1동
다세대,강남구 언주로103길 14,역삼1동
다세대,역삼로19길 25,역삼1동
도시형생활주택,강남구 테헤란로5길 25,역삼1동
아파트,강남구 삼성로11,개포2동
