주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,장애인주차면,여행주차면,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,월정기권요금,관리기관명,데이터기준일자
122-1-000001,강남대로150길,공영,노상,강남대로150길,논현동 1번지 주변,9,,,1,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000002,논현로131길,공영,노상,논현로131길,논현동58번지 주변,23,1,,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000006,테헤란로69길,공영,노상,테헤란로69길,삼성동 142번지 주변,28,1,,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000003,언주로147길,공영,노상,언주로147길,논현동 63-16주변,13,,,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000007,도산대로45길,공영,노상,도산대로45길,신사동 651주변,46,2,4,1,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000008,언주로171길,공영,노상,언주로171길,신사동 621 주변,29,,,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000009,선릉로146길,공영,노상,선릉로146길,청담동 23-3,33,1,3,1,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000012,선릉로132길,공영,노상,선릉로132길,청담동 42번지 주변,17,,,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000013,논현로28길,공영,노상,남부순환로370길,도곡동 517 주변,70,3,7,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,300,120000,강남구도시관리공단,2020-11-16
122-1-000010,테헤란로64길,공영,노상,테헤란로68길,대치동 890 주변,12,,,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000014,영동대로85길,공영,노상,삼성로86길,대치동 942 주변,95,5,10,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000011,영동대로106길,공영,노상,영동대로106길,삼성동 162-23주변,63,3,6,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,300,120000,강남구도시관리공단,2020-11-16
122-1-000004,영동대로96길,공영,노상,영동대로96길,삼성동 169 주변,81,4,8,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,300,120000,강남구도시관리공단,2020-11-16
122-1-000005,남부순환로397길,공영,노상,남부순환로397길,대치동 623 주변,83,4,8,2,미시행,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,,5분,300,120000,강남구도시관리공단,2020-11-16
122-1-000015,대치동 507-3,공영,노상,삼성로151,대치동 506 주변,27,,,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,300,120000,강남구도시관리공단,2020-11-16
122-1-000016,압구정로29길,공영,노상,압구정로29길,압구정동 445번지 주변,175,9,17,3,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,200,"80,000",강남구도시관리공단,2020-11-16
122-1-000017,헌릉로745길,공영,노상,헌릉로745길,율현동 101-13번지 단지내,244,12,24,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,300,120000,강남구도시관리공단,2020-11-16
122-1-000018,대치유수지체육공원,공영,노상,역삼로107길,대치동78-24외,99,5,10,3,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,200,80000,강남구도시관리공단,2020-11-16
122-1-000019,테헤란로26길,공영,노상,테헤란로26길,역삼1동 737,12,,,1,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,400,150000,강남구도시관리공단,2020-11-16
122-1-000020,일원동맛의거리,공영,노상,일원로9길,일원동 709-13,27,,,4,미시행,평일+토요일+공휴일,11:00,21:00,11:00,21:00,11:00,21:00,,5분,100,50000,강남구도시관리공단,2020-11-16
122-1-000021,은마아파트,공영,노상,삼성로58길,대치동 1012-94,59,3,6,2,미시행,평일+토요일+공휴일,9:00,19:00,9:00,19:00,9:00,19:00,,5분,300,120000,강남구도시관리공단,2020-11-16
122-2-000001,도산대로25길 32,공영,노외,논현로155길 32, 신사동 564-1,26,1,,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,400,125000,강남구도시관리공단,2020-11-16
122-2-000005,도곡로 327,공영,노외,도곡로 327, 역삼동 765-22,22,0,,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,400,125000,강남구도시관리공단,2020-11-16
122-2-000022,일원1동,공영,노외,양재대로27길 5,일원동 684-8,64,0,,4,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,100,50000,강남구도시관리공단,2020-11-16
122-2-000007,도곡로21길 7,공영,노외,도곡로21길7,역삼동 795-38외2,78,2,16,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,400,125000,강남구도시관리공단,2020-11-16
122-2-000008,도곡로 421,공영,노외,도곡로421,대치4동 939-21,29,0,,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,400,125000,강남구도시관리공단,2020-11-16
122-2-000011,강남치매지원센터,공영,노외,선릉로108길27,삼성동113-26외1필지,115,4,24,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,400,125000,강남구도시관리공단,2020-11-16
122-2-000014,역삼1동문화센터,공영,노외,역삼로7길 16,역삼동 829-20,118,3,25,1,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,400,125000,강남구도시관리공단,2020-11-16
122-2-000016,언북초교,공영,노외,삼성로135길 42,청담동27,226,4,48,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,300,90000,강남구도시관리공단,2020-11-16
122-2-000017,삼성1동문화센터,공영,노외,봉은사로616,"삼성동161-2,3",67,2,14,1,미시행,평일,7:00,22:00,0:00,0:00,0:00,0:00,,5분,400,125000,강남구도시관리공단,2020-11-16
122-2000004,논현로32길 15,공영,노외,논현로32길15, 도곡2동 516-2,21,0,,2,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,300,90000,강남구도시관리공단,2020-11-16
122-2-000013,대치2동문화센터,공영,노외,영동대로65길 24,대치동 980-9,159,4,36,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,300,90000,강남구도시관리공단,2020-11-16
122-2-000021,논현초교,공영,노외,강남대로 동36길 29,논현동 168,192,7,38,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,300,90000,강남구도시관리공단,2020-11-16
122-2-000002,구룡산제1호,공영,노외,양재대로478,개포동567-25외10,94,0,13,3,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,200,50000,강남구도시관리공단,2020-11-16
122-2-000006,구룡산제2호,공영,노외,개포동 126-2,개포동126-2,124,0,26,3,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,200,50000,강남구도시관리공단,2020-11-16
122-2-000009,포이초교,공영,노외,개포로22길 87,개포동 1273,194,4,39,3,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,200,50000,강남구도시관리공단,2020-11-16
122-2-000010,논현로22길,공영,노외,개포로31길,개포동1266,100,2,20,3,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,200,50000,강남구도시관리공단,2020-11-16
122-2-000012,개포동공원,공영,노외,개포로509,개포동183-2외4필지,149,4,30,3,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,200,50000,강남구도시관리공단,2020-11-16
122-2-000015,탄천제2호,공영,노외,개포로140길,일원동4-47,309,5,72,4,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,100,50000,강남구도시관리공단,2020-11-16
122-2-000019,언주초교,공영,노외,남부순환로361길26,도곡동922,191,4,39,3,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,200,50000,강남구도시관리공단,2020-11-16
122-2-000003,탄천주차장,공영,노외,역삼로107길, 삼성동171일대,987,20,200,4,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,100,50000,강남구도시관리공단,2020-11-16
122-2-000018,대청역,공영,노외,개포동 13-2,개포동 13-2,169,4,36,4,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,100,50000,강남구도시관리공단,2020-11-16
122-2-000020,영희초교,공영,노외,일원로21,일원동617,187,4,39,4,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,100,50000,강남구도시관리공단,2020-11-16
122-2-000023,대왕초교,공영,노외,헌릉로 618길 8,세곡동 122-2,100,10,30,4,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,,5분,100,50000,강남구도시관리공단,2020-11-16
122-2-000025,신구초교,공영,노외,압구정로 14길 13,신사동 550-4,194,19,30,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,300,125000,강남구도시관리공단,2020-11-16
122-2-000024,도곡초교,공영,노외,선릉로 64길 33,대치4동 924-10,200,20,40,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,5분,300,90000,강남구도시관리공단,2020-11-16
122-2-000026,압구정428,공영,노외,압구정로428,압구정 428,360,11,60,1,미시행,평일+토요일+공휴일,9:00,21:00,9:00,21:00,9:00,21:00,,5분,400,187500,강남구도시관리공단,2020-11-16
122-3-000001,강남구청 부설,공영,부설,학동로426,삼성동 16-1,186,7,21,급지없음,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,,10분,500,30000,강남구도시관리공단,2020-11-16
122-3-000002,강남구청 삼성로별관 부설,공영,부설,삼성로628,삼성동 66,43,3,9,급지없음,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,,10분,500,30000,강남구도시관리공단,2020-11-16
122-3-000003,푸른솔도서관,공영,부설,테헤란로8길36,,47,2,0,급지없음,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,,10분,500,230000,강남구도시관리공단,2020-11-16
122-3-000004,도곡정보문화도서관,공영,부설,도곡로18길57,,61,2,11,급지없음,미시행,평일,9:00,22:00,0:00,0:00,0:00,0:00,,10분,500,60000,강남구도시관리공단,2020-11-16
